depId, depCount
org.apache.tiles:tiles-template, 476
org.apache.oodt:oodt-profile, 1
org.apache.axis2.wso2:axis2-client, 16
org.apache.jackrabbit:jackrabbit-jcr-webdav, 2
org.wso2.carbon:org.wso2.carbon.authenticator.proxy, 1
com.anrisoftware.sscontrol:sscontrol-dns-maradns, 1
org.jbundle.app.program:org.jbundle.app.program.db, 4
com.intersult:domain, 1
org.jboss.as.metadata:jboss-metadata-common, 2
${project.groupId}:client-idd, 1
cofoja:cofoja, 2
axis2:axis2, 1
org.dishevelled:dsh-eventlist-view, 2
org.ow2.easybeans:easybeans-component-quartz, 9
org.ow2.xlcloud.xms:xms-sdk, 1
org.deephacks:confit-api-admin, 11
com.woorea:keystone-client, 10
org.apache.shiro:shiro-aspectj, 1
com.sun.grizzly:framework, 4
org.simart:write-it-once-core, 1
net.sf.tweety.logics:rcl, 3
org.atmosphere.extensions:atmosphere-rmi, 1
com.googlecode.linkedin-j:linkedin-j-core, 1
com.alibaba.otter:canal.instance.spring, 2
org.calrissian.accumulorecipes:entity-store, 1
org.qi4j.library:org.qi4j.library.fileconfig, 1
org.commonjava.shelflife:shelflife-core, 1
org.clapper:grizzled-slf4j_${scala.binary.version}, 1
org.mapsforge:mapsforge-map, 2
net.fortytwo.rdfagents:rdfagents-jade, 3
net.sf.ehcache:ehcache-explicitlocking, 1
org.duracloud:jquery.validate, 1
io.rtr.alchemy:alchemy-service, 1
org.gfork:gfork, 1
com.woorea:resteasy-connector, 7
org.molgenis:molgenis-omx-importer, 1
org.springframework:spring-framework-bom, 162
sun.jdk:tools, 16594
${project.groupId}:send-notification, 1
org.uberfire:uberfire-wires-core-api, 8
com.gu:aws-sdk-scala-wrappers-macro_2.11, 1
org.jboss.aerogear:aerogear-bom, 20
org.jboss.jbossts:jbossjta, 23
org.eclipse.jface:org.eclipse.jface.databinding, 2
org.andromda.bootstrap.metafacades:andromda-metafacades-uml, 1
org.ow2.jonas.jpaas:router-manager-ejb, 1
org.jibx.schema.org.opentravel._2012A:org.jibx.schema.org.opentravel._2012A.base.dynamicpkg, 1
${project.groupId}:router-generator, 1
org.jboss.jbossts:jbossjts, 3
${project.groupId}:cxf-rt-frontend-js, 1
geronimo:geronimo-console-framework, 2
jts:jtsio, 2
${project.groupId}:lucene-core, 243
org.switchyard.console:switchyard-console-component-bean, 2
com.ibatis:ibatis2-sqlmap, 1
org.gatein.pc:pc-portlet, 5
org.commonjava.aprox:aprox-ftests-common, 3
org.scala-sbt:test-interface, 179
org.wingsource:layout-plugin, 1
org.openengsb.labs.paxexam.karaf:paxexam-karaf-options, 1
org.sonatype.nexus.plugins:nexus-capabilities-plugin, 7
org.codehaus.fabric3:fabric3-pojo, 14
org.kasource:ka-spring, 1
org.drombler.commons:drombler-commons-context, 6
org.glassfish.persistence:persistence-common, 9
org.apache.servicemix.examples:cxf-nmr-osgi, 1
xerces:xercesImpl, 11753
org.mortbay.hightide:hightide-server-dependencies, 1
org.kill-bill.commons:killbill-embeddeddb-common, 21
cc.spray:spray-base, 6
org.springframework.boot:spring-boot-starter-amqp, 1
${project.groupId}:headlessviewer-applib, 1
