id,comment,patterns
com.chaschev:chutils,,throw
com.cloudbees:cloudbees-api-client-nodeps,,
com.eclipsesource.jaxrs:jersey-all,,
com.envoisolutions.sxc:sxc-jaxb,,
com.facebook.hiveio:hive-io-exp-core,,
com.facebook.jcommon:stats,,
com.facebook.presto:presto-jdbc,,
com.github.jasonruckman:sidney-core,,
com.github.jsimone:webapp-runner,,
com.googlecode.funcito:funcito,,
com.groupon.mysql:mysql-embed,,
com.higherfrequencytrading:chronicle,,
com.javax0:djcproxy,,
com.jolbox:bonecp-provider,,
com.netflix.numerus:numerus,,
com.networkbench.newlens.agent.android:nbs.newlens.class.rewriter,,
com.newrelic.agent.android:class-rewriter,,
com.nfsdb:nfsdb-core,,
com.nitorcreations:drm-core,,
com.sun.grizzly:grizzly-comet-webserver,,
com.sun.grizzly:grizzly-webserver,,
com.thinkaurelius.titan:titan-hbase,,
com.twitter:parquet-tools,,
com.typesafe.akka:akka-actor_2.11.0-M7,,
com.vaadin.external.gwt:gwt-dev,,
de.matrixweb.osgi.wrapped:osgi-wrapped-closure-compiler,,
de.ruedigermoeller:kontraktor,,
geronimo:geronimo-interop,,
io.fabric8.insight:insight-elasticsearch,,
io.janusproject.guava:guava,,
io.protostuff:protostuff-runtime,,
io.rainfall:rainfall-core,,
io.rtr.alchemy:alchemy-service,,
net.moetang:nekocore,,
net.openhft:chronicle-map,,throw
net.openhft:collections,,
net.openhft:koloboke-impl-jdk6-7,,
net.scattersphere:scattersphere-core,,throw
net.sf.grinder:grinder-core,,
net.sourceforge.owlapi:owlapi-parsers,,
net.tribe7.seeds:seeds-cache,,
net.vvakame:jsonpullparser-apt,,class
org.apache.geronimo.gshell:gshell-embeddable,,
org.apache.giraph:giraph-core,,
org.apache.jackrabbit:oak-tarmk-standby,,throw
org.apache.servicemix.bundles:org.apache.servicemix.bundles.avro,,
org.apache.yoko:yoko-rmi-impl,,
org.avaje.metric:avaje-metric-core,,
org.batoo.jpa:batoo-jpa,,
org.batoo.jpa:common,,
org.bitbucket.mstrobel:procyon-reflection,,class
org.bytedeco:javacv,,
org.caffinitas.mapper:caffinitas-mapper-core,,
org.caffinitas.ohc:ohc-core-j8,,
org.coconut.forkjoin:jsr166y,,throw
org.codehaus.jsr166-mirror:extra166y,,
org.deephacks.graphene:graphene-core,,
org.deephacks.tools4j:tools4j-config-provider-cached,,
org.deephacks.tools4j:tools4j-config-provider-hbase-filter,,
org.deephacks:confit-provider-cached,,
org.deephacks:confit-provider-hbase-filter,,
org.ehcache:ehcache,,
org.fabric3:fabric3-node,,
org.fusesource.fabric:tooling-jclouds-all,,
org.fusesource.insight:insight-elasticsearch,,class
org.glassfish.embedded:glassfish-embedded-all,,class
org.glassfish.extras:glassfish-embedded-web,,class
org.glassfish.jersey.bundles.repackaged:jersey-jsr166e,,
org.glassfish.main.extras:glassfish-embedded-web,,
org.graphchi:graphchi-java_2.10,,
org.graphchi:graphchi-java_2.11,,
org.infinispan:infinispan-embedded-query,,
org.jboss.arquillian.daemon:arquillian-daemon-main,,monitor
