className, methodName, methodDesc, owner, name, desc, groupId, artifactId, version, size, ext
java/util/concurrent/CompletableFuture, <clinit>, ()V, sun/misc/Unsafe, objectFieldOffset, (Ljava/lang/reflect/Field;)J, jdk8, jdk8, rt.jar@1.8, 1, jar
java/util/concurrent/CompletableFuture, <clinit>, ()V, sun/misc/Unsafe, objectFieldOffset, (Ljava/lang/reflect/Field;)J, jdk8, jdk8, rt.jar@1.8, 1, jar
java/util/concurrent/CompletableFuture, <clinit>, ()V, sun/misc/Unsafe, objectFieldOffset, (Ljava/lang/reflect/Field;)J, jdk8, jdk8, rt.jar@1.8, 1, jar
java/util/concurrent/ConcurrentHashMap$TreeBin, lockRoot, ()V, sun/misc/Unsafe, compareAndSwapInt, (Ljava/lang/Object;JII)Z, jdk8, jdk8, rt.jar@1.8, 1, jar
java/util/concurrent/ConcurrentHashMap$TreeBin, contendedLock, ()V, sun/misc/Unsafe, compareAndSwapInt, (Ljava/lang/Object;JII)Z, jdk8, jdk8, rt.jar@1.8, 1, jar
java/util/concurrent/ConcurrentHashMap$TreeBin, contendedLock, ()V, sun/misc/Unsafe, compareAndSwapInt, (Ljava/lang/Object;JII)Z, jdk8, jdk8, rt.jar@1.8, 1, jar
java/util/concurrent/ConcurrentHashMap$TreeBin, find, (ILjava/lang/Object;)Ljava/util/concurrent/ConcurrentHashMap$Node;, sun/misc/Unsafe, compareAndSwapInt, (Ljava/lang/Object;JII)Z, jdk8, jdk8, rt.jar@1.8, 1, jar
java/util/concurrent/ConcurrentHashMap$TreeBin, find, (ILjava/lang/Object;)Ljava/util/concurrent/ConcurrentHashMap$Node;, sun/misc/Unsafe, getAndAddInt, (Ljava/lang/Object;JI)I, jdk8, jdk8, rt.jar@1.8, 1, jar
java/util/concurrent/ConcurrentHashMap$TreeBin, find, (ILjava/lang/Object;)Ljava/util/concurrent/ConcurrentHashMap$Node;, sun/misc/Unsafe, getAndAddInt, (Ljava/lang/Object;JI)I, jdk8, jdk8, rt.jar@1.8, 1, jar
java/util/concurrent/ConcurrentHashMap$TreeBin, <clinit>, ()V, sun/misc/Unsafe, getUnsafe, ()Lsun/misc/Unsafe;, jdk8, jdk8, rt.jar@1.8, 1, jar
